access_code,access_days_time,access_detail_code,cards_accepted,date_last_confirmed,expected_date,fuel_type_code,groups_with_access_code,id,open_date,owner_type_code,status_code,station_name,station_phone,updated_at,facility_type,geocode_status,latitude,longitude,city,intersection_directions,plus4,state,street_address,zip,country,ev_connector_types,ev_dc_fast_num,ev_level1_evse_num,ev_level2_evse_num,ev_network,ev_network_web,ev_other_evse,ev_pricing,ev_renewable_source,ev_network_ids,federal_agency
public,24 hours daily,,,2020-01-27,,ELEC,Public,117049,,,E,WHOLE FOODS MKT,888-758-4389,2020-01-27T10:14:46Z,,200-9,35.898899,-78.650239,Raleigh,"RALEIGH NRL 1; Station located at Whole Foods on the right side of the building near the front entrance. 
RALEIGH NRL 2; Station located on the right side of the Whole Foods close to the entrance. ",,NC,8710 Six Forks Rd,27615,US,['J1772'],,,3.0,ChargePoint Network,http://www.chargepoint.com/,,Free,,"{'posts': ['1:758231', '1:758261'], 'ports': ['1', '2']}",
public,24 hours daily,,,2020-01-27,,ELEC,Public,117060,,,E,HIGHWOODS,888-758-4389,2020-01-27T10:14:46Z,,200-9,35.827568,-78.797822,Cary,"CENTREGREEN 1; Parking deck
CENTREGREEN 2; -
CENTREGREEN 3",,NC,1000 Centregreen Way,27513,US,['J1772'],,,6.0,ChargePoint Network,http://www.chargepoint.com/,,"Pricing is based on length of time. $1 per hour for the first 4 hours, and $5 per additional hour",,"{'posts': ['1:737641', '1:737681', '1:737691'], 'ports': ['1', '2']}",
public,24 hours daily,,,2020-01-27,,ELEC,Public,117062,,,E,HIGHWOODS,888-758-4389,2020-01-27T10:14:46Z,,GPS,35.8264936,-78.7948943,Cary,CENTREGREEN 4,,NC,4025 Centregreen Way,27513,US,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,"Pricing is based on length of time. $1 per hour for the first 4 hours, and $5 per additional hour",,"{'posts': ['1:737161'], 'ports': ['1', '2']}",
public,24 hours daily,,,2020-01-27,,ELEC,Public,117152,,,E,BUILDINGB1,888-758-4389,2020-01-27T10:14:46Z,,GPS,35.5137133,-80.8472559,Davidson,EV STATION 06; Building A lot Lakeside,,NC,Ingersoll-Rand Rd Building A Lot,28036,US,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,Free,,"{'posts': ['1:749151'], 'ports': ['1', '2']}",
public,24 hours daily,,,2020-01-27,,ELEC,Public,117333,,,E,HENDRICK SBLVD,888-758-4389,2020-01-27T10:14:46Z,,200-9,35.116514,-80.882152,Charlotte,"SERVICE 1; Behind Service Drive on outside wall near car wash exit
SERVICE 2; Behind Service Drive on outside wall near car wash exit",,NC,8901 South Blvd,28273,US,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,Free,,"{'posts': ['1:748481', '1:748491'], 'ports': ['1']}",
public,24 hours daily,,,2020-01-27,,ELEC,Public,117633,,,E,BLOWING ROCK,888-758-4389,2020-01-27T10:14:46Z,,GPS,36.1329453,-81.6797377,Blowing Rock,BLOWING ROCK; Lower level on right ,,NC,333 Wallingford Rd,28605,US,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,$5 per session,,"{'posts': ['1:180801'], 'ports': ['1', '2']}",
public,24 hours daily,,,2020-01-27,,ELEC,Public,117778,,,E,MJM GROUP,888-758-4389,2020-01-27T10:14:46Z,,GPS,35.1647489,-80.9725767,Charlotte,STATION 1; In the Residence Inn parking lot facing Dixie River,,NC,5110 Trojan Dr,28278,US,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,Free,,"{'posts': ['1:769651'], 'ports': ['1', '2']}",
public,24 hours daily,,,2020-01-27,,ELEC,Public,118051,,,E,FAYETTEVILLE NC,888-758-4389,2020-01-27T10:14:46Z,,GPS,35.0518437,-78.8818608,Fayetteville,TRANS.MUSEUM 01,,NC,325 Franklin Street,28301,US,"['J1772', 'NEMA520']",,1.0,1.0,ChargePoint Network,http://www.chargepoint.com/,,Free,,"{'posts': ['1:5101'], 'ports': ['1', '2']}",
public,24 hours daily,,,2020-01-27,,ELEC,Public,118205,,,E,GATEWAY PARK,888-758-4389,2020-01-27T10:14:46Z,,GPS,35.6663615,-80.4675324,Salisbury,MINT PARK; In Gateway lot by the bus shelter,,NC,115 Depot St Historical Mint Park,28144,US,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,Free,,"{'posts': ['1:187537'], 'ports': ['1', '2']}",
public,24 hours daily,,,2020-01-27,,ELEC,Public,118507,,,E,BASF,888-758-4389,2020-01-27T10:14:46Z,,200-9,35.926676,-78.855347,Durham,"B101 STATION 3; B101 North Entrance
B101 STATION 4; B101 North Entrance
PAV STATION 1; In front of pavillion
PAV STATION 2; In front of Pavillion",,NC,2 TW Alexander Dr,27709,US,['J1772'],,,8.0,ChargePoint Network,http://www.chargepoint.com/,,Free,,"{'posts': ['1:764641', '1:774531', '1:818121', '1:818141'], 'ports': ['1', '2']}",
public,24 hours daily,,,2020-01-27,,ELEC,Public,118887,,,E,SERVICE DR.,888-758-4389,2020-01-27T10:14:46Z,,200-9,35.737083,-78.811109,Cary,"SHOP 01; Inside shop
SHOP 02; Inside shop
STATION01",,NC,3630 Old Raleigh Rd,27511,US,['J1772'],,,4.0,ChargePoint Network,http://www.chargepoint.com/,,Free,,"{'posts': ['1:777421', '1:784561', '1:784581'], 'ports': ['1', '2']}",
public,24 hours daily,,,2020-01-27,,ELEC,Public,118914,,,E,METLIFE,888-758-4389,2020-01-27T10:14:46Z,,200-9,35.830019,-78.799133,Cary,"201MWAY CT4K09; -
201MWAY CT4K10; -
201MWAY CT4K11; -
201MWAY CT4K12; -
201MWAY CT4K13; First floor
201MWAY CT4K14; First floor
201MWAY CT4K15; First floor
201MWAY CT4K16; -",,NC,201 Metlife Way,27513,US,['J1772'],,,16.0,ChargePoint Network,http://www.chargepoint.com/,,Free,,"{'posts': ['1:781941', '1:781951', '1:781981', '1:781991', '1:792681', '1:792691', '1:792701', '1:792751'], 'ports': ['1', '2']}",
public,Dealership business hours,CALL,,2019-04-08,,ELEC,Public - Call ahead,118968,2019-03-01,P,E,Capital Ford,844-242-1515,2020-01-21T18:34:38Z,CAR_DEALER,200-9,35.261309,-80.776713,Charlotte,Located on the pillar near the service bay,,NC,5411 N Tryon St,28213,US,['J1772'],,,1.0,Non-Networked,,,,,,
public,24 hours daily,,,2020-01-27,,ELEC,Public,119005,,,E,RALEIGH STATION,888-758-4389,2020-01-27T10:14:46Z,,200-9,35.88656,-78.56933,Raleigh,"DC FAST 01; -
DC FAST 02; -
SHOP 01; -
SHOP 02; -
STATION 01; -
STATION 02; -",,NC,4005 Capital Hills Dr,27616,US,"['J1772', 'J1772COMBO']",2.0,,5.0,ChargePoint Network,http://www.chargepoint.com/,,Free,,"{'posts': ['1:730361', '1:772981', '1:776741', '1:787011', '1:787061', '1:790001'], 'ports': ['1', '2']}",
public,24 hours daily,,,2020-01-27,,ELEC,Public,119031,,,E,METLIFE,888-758-4389,2020-01-27T10:14:46Z,,200-9,35.830059,-78.799758,Cary,"101MWAY CT GW01; -
101MWAY CT GW02; -
101MWAY CT4K01; -
101MWAY CT4K02; -
101MWAY CT4K05; Rooftop Unit #5
101MWAY CT4K06; Rooftop #6
101MWAY CT4K07; Rooftop #7
101MWAY CT4K08; Rooftop #8",,NC,101 Metlife Way,27513,US,['J1772'],,,16.0,ChargePoint Network,http://www.chargepoint.com/,,Free,,"{'posts': ['1:724681', '1:724691', '1:724741', '1:724801', '1:774061', '1:774081', '1:774091', '1:774111'], 'ports': ['1', '2']}",
public,24 hours daily,,,2020-01-27,,ELEC,Public,119033,,,E,HENDRICKCONCORD,888-758-4389,2020-01-27T10:14:46Z,,GPS,35.3789229,-80.6999791,Concord,SHOP02,,NC,10037 Weddington Rd Ext.,28027,US,['J1772'],,,1.0,ChargePoint Network,http://www.chargepoint.com/,,Free,,"{'posts': ['1:772801'], 'ports': ['1']}",
public,24 hours daily,,,2020-01-27,,ELEC,Public,119034,,,E,HENDRICKCONCORD,888-758-4389,2020-01-27T10:14:46Z,,200-8,35.363571,-80.705009,Concord,"SHOP01
STATION01",,NC,7650 Bruton Smith Blvd,28027,US,['J1772'],,,3.0,ChargePoint Network,http://www.chargepoint.com/,,Free,,"{'posts': ['1:772741', '1:772791'], 'ports': ['1', '2']}",
private,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,,,2020-01-27,,ELEC,Private,120893,,,E,Marlowe Lake Boone Apartments,888-998-2546,2020-01-27T09:08:07Z,,GPS,35.814248,-78.689886,Raleigh,,,NC,1731 Tupelo Hill Lane,27607,US,['J1772'],,,2.0,Blink Network,http://www.blinkcharging.com/,,Level 2: $0.49 per kWh,,"{'station': ['436072'], 'posts': ['21289', '21291']}",
public,24 hours daily,,,2019-04-08,,ELEC,Public,120910,2015-07-01,LG,E,City of Shelby,704-484-6866,2020-01-21T18:34:38Z,MUNI_GOV,GPS,35.29263,-81.541347,Shelby,,,NC,126 W Marion St,28150,US,['J1772'],,,1.0,Non-Networked,,,Free,,,
public,"7am-9pm M-Sat, 8am-8pm Sun",,,2019-04-08,,ELEC,Public,120914,2019-01-01,P,E,Hendersonville Community Co-op,828-693-0505,2020-01-21T18:34:38Z,COOP,GPS,35.305269,-82.44885,Hendersonville,,,NC,60 S Charleston Ln,28792,US,['J1772'],,,4.0,Non-Networked,,,,,,
public,24 hours daily,,,2020-01-27,,ELEC,Public,120970,,,E,COCPARKING,888-758-4389,2020-01-27T10:14:46Z,,GPS,35.4085492,-80.5799139,Concord,STATION 3,,NC,80 Union St S,28025,US,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,Free,,"{'posts': ['1:794801'], 'ports': ['1', '2']}",
public,24 hours daily,,,2020-01-27,,ELEC,Public,120977,,,E,CITY OF ELIZABE,888-758-4389,2020-01-27T10:14:46Z,,GPS,36.2987868,-76.2187094,Elizabeth City,MARINERS EV 1; In the parking lot for Mariners' Wharf Park. ,,NC,707 E Fearing St,27909,US,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,$1 per hour,,"{'posts': ['1:786761'], 'ports': ['1', '2']}",
public,24 hours daily,,,2020-01-27,,ELEC,Public,120999,,,E,119 SOUTH,888-758-4389,2020-01-27T10:14:46Z,,GPS,36.0634662,-79.2998859,Mebane,PARKING LOT; Gated Community Behind Gate. Open 7am - 7pm,,NC,3000 Bluebird Lane,27302,US,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,Free,,"{'posts': ['1:481291'], 'ports': ['1', '2']}",
public,24 hours daily,,,2020-01-27,,ELEC,Public,121009,,,E,"CHARLOTTE, NC",888-758-4389,2020-01-27T10:14:46Z,,GPS,35.2292981,-80.8408062,Charlotte,DISCOVERY 0001; 3rd Level Parking Deck,,NC,301 N Tryon St,28202,US,['J1772'],,,1.0,ChargePoint Network,http://www.chargepoint.com/,,Free,,"{'posts': ['1:160367'], 'ports': ['1']}",
public,24 hours daily,,,2020-01-27,,ELEC,Public,121052,,,E,FOUR COUNTY EMC,888-758-4389,2020-01-27T10:14:46Z,,GPS,34.5456315,-77.9540393,Burgaw,FOUR COUNTY HQ; To the left as you enter from the road,,NC,1822 NC-53 West,28425,US,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,Free,,"{'posts': ['1:788751'], 'ports': ['1', '2']}",
public,24 hours daily,,,2020-01-27,,ELEC,Public,121106,,,E,SERVICECHARGER,888-758-4389,2020-01-27T10:14:46Z,,GPS,35.4409068,-82.5338528,Fletcher,SHOP 01; Apple tree Honda inside last bay on left,,NC,242 Underwood Rd,28732,US,['J1772'],,,1.0,ChargePoint Network,http://www.chargepoint.com/,,Free,,"{'posts': ['1:683551'], 'ports': ['1']}",
public,24 hours daily,,,2020-01-27,,ELEC,Public,121242,,,E,WHOLE FOODS MKT,888-758-4389,2020-01-27T10:14:46Z,,GPS,35.8333973,-78.8823858,Cary,CARY 1,,NC,5055 Arco Street,27519,US,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,Free,,"{'posts': ['1:807711'], 'ports': ['1', '2']}",
private,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,,,2020-01-27,,ELEC,Private,121256,,,E,Bull House Apartments,888-998-2546,2020-01-27T09:08:07Z,,GPS,35.989721,-78.898721,Durham,,,NC,504 East Pettigrew St,27701,US,['J1772'],,,2.0,Blink Network,http://www.blinkcharging.com/,,Free,,"{'station': ['398388'], 'posts': ['26707', '42042']}",
public,24 hours daily; for guest use only,,,2019-05-09,,ELEC,Public,121301,2018-11-01,P,E,Residence Inn & Courtyard - Charlotte North,704-719-9444,2020-01-21T18:34:38Z,HOTEL,200-9,35.344936,-80.842227,Charlotte,,,NC,9110 Harris Corners Pkwy,28208,US,['J1772'],,,2.0,Non-Networked,,,Free,,,
public,Dealership business hours,CALL,,2019-06-06,,ELEC,Public - Call ahead,121303,2019-04-01,P,E,Parks Chevrolet Charlotte,704-227-5851,2020-01-21T18:34:38Z,CAR_DEALER,GPS,35.289592916497,-80.7642941851807,Charlotte,,,NC,8530 Ikea Blvd,28262,US,['J1772'],,,2.0,Non-Networked,,,,,,
public,Garage business hours,,,2019-05-09,,ELEC,Public,121304,2016-01-01,P,E,University of North Carolina Charlotte - CRI Deck 1,704-687-0161,2020-01-21T18:34:38Z,COLLEGE_CAMPUS,200-9,35.309767,-80.744669,Charlotte,Located at Robert D. Snyder Rd and University City Blvd; chargers on Level 2,,NC,9100 Robert D. Snyder Rd,28223,US,['J1772'],,,8.0,Non-Networked,,,,,,
public,Garage business hours,,,2019-05-09,,ELEC,Public,121305,2016-01-01,P,E,University of North Carolina Charlotte - South Village Parking Deck,704-687-0161,2020-01-21T18:34:38Z,COLLEGE_CAMPUS,200-8,35.30438,-80.736847,Charlotte,,,NC,8908 Cameron Blvd,28223,US,['J1772'],,,8.0,Non-Networked,,,,,,
public,Garage business hours,,,2019-05-09,,ELEC,Public,121306,2016-01-01,P,E,University of North Carolina Charlotte - East Deck 3,704-687-0161,2020-01-21T18:34:38Z,COLLEGE_CAMPUS,200-9,35.302085,-80.731393,Charlotte,,,NC,9201 University City Blvd,28213,US,['J1772'],,,4.0,Non-Networked,,,,,,
public,"9am-5pm M-F, 10am-5pm Sat, 12pm-5pm Sun",,,2019-06-06,,ELEC,Public,121307,2019-04-01,P,E,Glenwood Acres RV Park,704-455-9282,2020-01-21T18:34:38Z,RV_PARK,200-9,35.351959,-80.69282,Concord,,,NC,4632 Delrae Cir,28027,US,['NEMA1450'],,2.0,,Non-Networked,,,$10 per session,,,
public,Dealership business hours,CALL,,2019-06-06,,ELEC,Public - Call ahead,121308,2019-04-01,P,E,Keffer Chrysler Jeep Dodge Ram,877-426-0070,2020-01-21T18:34:38Z,CAR_DEALER,200-9,35.152137,-80.729776,Charlotte,,,NC,8214 E Independence Blvd,28227,US,['J1772'],,,1.0,Non-Networked,,,,,,
public,7am-10pm daily,,,2019-05-09,,ELEC,Public,121309,2019-04-01,P,E,Publix #1518,704-367-5208,2020-01-21T18:34:38Z,GROCERY,200-9,35.177786,-80.799739,Charlotte,,,NC,4425 Randolph Rd,28211,US,['J1772'],,,4.0,Non-Networked,,,,,,
public,24 hours daily; priority for employee use,,,2019-05-09,,ELEC,Public,121310,2019-04-01,P,E,Sterling Services,704-821-3300,2020-01-21T18:34:38Z,SHOPPING_CENTER,200-9,35.086503,-80.678455,Matthews,,,NC,3372 Smith Farm Rd,28104,US,['J1772'],,,1.0,Non-Networked,,,,,,
public,24 hours W-Sun; free for customers,,,2019-05-09,,ELEC,Public,121311,2017-05-01,P,E,Sweet Union Brewing,704-628-5211,2020-01-21T18:34:38Z,BREWERY_DISTILLERY_WINERY,GPS,35.0861594414336,-80.6598315872803,Indian Trail,,,NC,13717 E Independence Blvd,28079,US,['J1772'],,,1.0,Non-Networked,,,,,,
public,Dealership business hours,CALL,,2019-06-06,,ELEC,Public - Call ahead,121312,2017-10-01,P,E,Indian Trail Chrysler Dodge Jeep Ram,704-220-4370,2020-01-21T18:34:38Z,CAR_DEALER,200-9,35.058525,-80.632095,Monroe,,,NC,5501 W Highway 74,28110,US,['J1772'],,,1.0,Non-Networked,,,,,,
public,7am-10pm daily,,,2019-05-09,,ELEC,Public,121313,2017-05-01,P,E,Whole Foods Market,980-213-2400,2020-01-21T18:34:38Z,GROCERY,200-9,35.05123,-80.766313,Charlotte,,,NC,7221 Waverly Walk Ave,28277,US,['J1772'],,,4.0,Non-Networked,,,,,,
public,24 hours daily,,,2020-01-27,,ELEC,Public,121551,,,E,ADMIN COMPLEX,888-758-4389,2020-01-27T10:14:46Z,,GPS,35.0436537,-77.352303,Trenton,JC CIVIC CENTER; South Side of Building near Hwy 58 Entrance,,NC,832 North Carolina Hwy 58,28585,US,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,Free,,"{'posts': ['1:547061'], 'ports': ['1', '2']}",
public,24 hours daily,,,2020-01-27,,ELEC,Public,121552,,,E,ADMIN COMPLEX,888-758-4389,2020-01-27T10:14:46Z,,GPS,35.0677504,-77.3630208,Trenton,JONES ADMIN; Front Parking Lot at Jones County Admin Complex,,NC,418 North Carolina Hwy 58,28585,US,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,Free,,"{'posts': ['1:546901'], 'ports': ['1', '2']}",
public,24 hours daily,,,2019-05-09,,ELEC,Public,121644,2019-04-01,P,E,High Point Public Library,855-885-9571,2020-01-21T18:34:38Z,LIBRARY,200-9,35.966146,-80.01336,High Point,,,NC,901 N Main St,27262,US,['J1772'],,,1.0,OpConnect,http://www.opconnect.com/,,$2.10 per hour,,,
public,24 hours daily,,,2020-01-27,,ELEC,Public,121801,,,E,Walmart 2256 Henderson,833-632-2778,2020-01-27T11:03:23Z,,GPS,36.334674,-78.442161,Henderson,,,NC,200 N Cooper Drive,27536,US,"['CHADEMO', 'J1772COMBO']",4.0,,,Electrify America,https://www.electrifyamerica.com/,,,,"{'station': ['61'], 'posts': ['100513-01', '100513-02', '100513-03', '100513-04']}",
public,24 hours daily,,,2020-01-27,,ELEC,Public,121806,,,E,"Sheetz 504 (Rocky Mount, NC)",833-632-2778,2020-01-27T11:03:23Z,,GPS,35.97208,-77.895654,Rocky Mount,,,NC,157 N Old Carriage Road,27804,US,"['CHADEMO', 'J1772COMBO']",4.0,,,Electrify America,https://www.electrifyamerica.com/,,,,"{'station': ['178'], 'posts': ['100271-01', '100271-02', '100271-03', '100271-04']}",
public,24 hours daily,,,2020-01-27,,ELEC,Public,121807,,,E,"Walmart 5254 - Wake Forest, NC",833-632-2778,2020-01-27T11:03:23Z,,GPS,35.951539,-78.533981,Wake Forest,,,NC,2114 S. Main St.,27587,US,"['CHADEMO', 'J1772', 'J1772COMBO']",3.0,,1.0,Electrify America,https://www.electrifyamerica.com/,,,,"{'station': ['55'], 'posts': ['200129-01', '200129-02', '200129-03', '200129-50']}",
public,24 hours daily,,,2020-01-27,,ELEC,Public,121809,,,E,Pleasant Valley Promenade,833-632-2778,2020-01-27T11:03:23Z,,GPS,35.857314,-78.703585,Raleigh,,,NC,6204 Glenwood Ave,27612,US,"['CHADEMO', 'J1772COMBO']",6.0,,,Electrify America,https://www.electrifyamerica.com/,,,,"{'station': ['173'], 'posts': ['200130-01', '200130-02', '200130-03', '200130-04', '200130-05', '200130-06']}",
public,24 hours daily,,,2020-01-27,,ELEC,Public,121812,,,E,"Sam's Club 6452 (Asheville, NC)",833-632-2778,2020-01-27T11:03:23Z,,GPS,35.591191,-82.581595,Asheville,,,NC,645 Patton Ave.,28806,US,"['CHADEMO', 'J1772COMBO']",4.0,,,Electrify America,https://www.electrifyamerica.com/,,,,"{'station': ['253'], 'posts': ['100054-01', '100054-02', '100054-03', '100054-04']}",
public,24 hours daily; for guest use only; see front desk for access,,,2019-05-09,,ELEC,Public,121862,2019-04-01,P,E,Hampton Inn - Benson,919-701-8000  866-816-7584,2020-01-21T18:34:38Z,HOTEL,GPS,35.374273,-78.54178,Benson,,,NC,100 Water Pl Landing,27504,US,['J1772'],,,1.0,EV Connect,http://evconnect.com/,,,,,
public,24 hours daily,,,2020-01-27,,ELEC,Public,122216,,,E,CITY OF DURHAM,888-758-4389,2020-01-27T10:14:46Z,,200-9,35.997667,-78.898857,Durham,"FL1 MORGAN; On 1st floor next to handicap spaces, directly across from Morgan St entrance
FL2 L MORGAN; On 2nd floor of parking deck, on left as you get to the top of the ramp
FL2 R MORGAN; On 2nd floor of Morgan Rigsbee deck, on left as you go up the ramp",,NC,105 W Morgan St,27701,US,['J1772'],,,6.0,ChargePoint Network,http://www.chargepoint.com/,,Free,,"{'posts': ['1:798451', '1:798491', '1:798501'], 'ports': ['1', '2']}",
public,24 hours daily; for Tesla use only,,,2019-12-12,,ELEC,Public,122272,2019-03-01,P,E,Holiday Inn Express - Plymouth - Tesla Supercharger,877-798-3752,2020-01-21T18:34:38Z,,200-8,35.862654,-76.732175,Plymouth,,,NC,840 U.S. 64,27962,US,['TESLA'],8.0,,,Tesla,http://www.teslamotors.com/supercharger,,$0.28 per kWh; $0.26 per minute above 60 kW and $0.13 per minute at or below 60 kW,,{'station': ['2375']},
public,24 hours daily; for Tesla use only; for customer use only,,,2019-09-30,,ELEC,Public,122499,2019-03-01,P,E,Hyatt Place Chapel Hill Southern Village - Tesla Destination,919-929-9511  877-798-3752,2019-12-23T15:27:39Z,,200-8,35.902408,-79.032347,Chapel Hill,,,NC,1090 US Hwy 15 501 S,27517,US,"['J1772', 'TESLA']",,,3.0,Tesla Destination,https://www.tesla.com/destination-charging,,Free,,{'station': ['6502']},
public,24 hours daily; for Tesla use only,,,2019-09-30,,ELEC,Public,122500,2019-03-01,P,E,237 S Tryon St Garage - Tesla Destination,704-375-6014  877-798-3752,2019-12-23T15:27:39Z,,200-8,35.225958,-80.844521,Charlotte,,,NC,237 S Tryon St,28202,US,"['J1772', 'TESLA']",,,6.0,Tesla Destination,https://www.tesla.com/destination-charging,,Free,,{'station': ['71124']},
public,24 hours daily,,,2020-01-27,,ELEC,Public,122662,,,E,WINSTON-SALEM,888-758-4389,2020-01-27T10:14:46Z,,GPS,36.0991115,-80.2426653,Winston-Salem,4TH AND CHURCH; Parking Deck.  Enter deck from 4th Street between Church St & Chestnut St.  Proceed into deck & turn immediately left.,,NC,171 4th Street East Inside Parking Deck,27101,US,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,Free,,"{'posts': ['1:180695'], 'ports': ['1', '2']}",
public,24 hours daily,,,2020-01-27,,ELEC,Public,122664,,,E,WINSTON-SALEM,888-758-4389,2020-01-27T10:14:46Z,,GPS,36.0823302,-80.2406575,Winston-Salem,GATEWAY CIRCLE; Intersection of S. Main St and E. Salem Ave traffic circle.  Turn on E. Salem Ave and turn in parking lot on right for tennis courts.,,NC,E Salem Ave at South Main St Parking Lot,27101,US,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,Free,,"{'posts': ['1:60043'], 'ports': ['1', '2']}",
public,24 hours daily,,,2020-01-27,,ELEC,Public,122719,,,E,"Walmart 1155 (Lumberton, NC)",833-632-2778,2020-01-27T11:03:23Z,,GPS,34.665058,-79.006662,Lumberton,,,NC,5070 Fayetteville Road .,28358,US,"['CHADEMO', 'J1772COMBO']",4.0,,,Electrify America,https://www.electrifyamerica.com/,,,,"{'station': ['386'], 'posts': ['100618-01', '100618-02', '100618-03', '100618-04']}",
public,24 hours daily,,,2019-06-06,,ELEC,Public,123246,2019-04-01,P,E,Captrust Tower,866-816-7584,2020-01-21T18:34:38Z,OFFICE_BLDG,GPS,35.8370151,-78.640051,Raleigh,,,NC,4208 Six Forks Rd,27609,US,['J1772'],,,3.0,EV Connect,http://evconnect.com/,,,,,
public,24 hours daily,,,2019-06-06,,ELEC,Public,123247,2019-04-01,P,E,Public Parking,866-816-7584,2020-01-21T18:34:38Z,PARKING_LOT,GPS,35.7026686,-81.220209,Conover,,,NC,501 1st Ave S,28613,US,['J1772'],,,2.0,EV Connect,http://evconnect.com/,,,,,
public,24 hours daily,,,2019-06-06,,ELEC,Public,123267,2019-04-01,P,E,Park Central Apartments,866-816-7584,2020-01-21T18:34:38Z,MULTI_UNIT_DWELLING,GPS,35.8379882,-78.638219,Raleigh,,,NC,121 St Albans Dr,27609,US,['J1772'],,,2.0,EV Connect,http://evconnect.com/,,,,,
private,For employee use only,,,2019-08-08,,ELEC,Private,123325,2019-05-01,P,E,Verizon - Charlotte,,2020-01-21T18:34:38Z,OFFICE_BLDG,200-9,35.146862,-80.728887,Charlotte,,,NC,2401 Sardis Rd N,28227,US,['J1772'],,,4.0,Non-Networked,,,,,,
private,For employee use only,,,2019-08-08,,ELEC,Private,123352,2019-05-01,P,E,Verizon - Cary,,2020-01-21T18:34:38Z,OFFICE_BLDG,200-9,35.830871,-78.791809,Cary,,,NC,7000 Weston Pkwy,27513,US,['J1772'],,,4.0,Non-Networked,,,,,,
public,Business hours,,,2019-06-06,,ELEC,Public,123510,2019-05-01,P,E,Bank of America - Financial Center,980-335-3561,2020-01-21T18:34:38Z,BANK,200-9,35.230261,-80.839631,Charlotte,,,NC,401 N Tryon St,28202,US,['J1772'],,,4.0,Non-Networked,,,,,,
public,24 hours daily,,,2020-01-27,,ELEC,Public,123583,,,E,CROWN HONDA,888-758-4389,2020-01-27T10:14:46Z,,200-9,36.059267,-79.869511,Greensboro,"SHOP 01
SHOP02",,NC,3633 W Wendover Ave,27407,US,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,Free,,"{'posts': ['1:1789491', '1:1789501'], 'ports': ['1']}",
public,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,,,2020-01-27,,ELEC,Public,123651,,,E,Solice Southline,888-998-2546,2020-01-27T09:08:07Z,,GPS,35.203181,-80.6558,Charlotte,,,NC,2520 South Blvd,28203,US,['J1772'],,,1.0,Blink Network,http://www.blinkcharging.com/,,Level 2: $0.49 per kWh,,"{'station': ['451248'], 'posts': ['37232']}",
public,24 hours daily,,,2020-01-27,,ELEC,Public,123770,,,E,"SHEETZ 647- Hillsborough, NC",833-632-2778,2020-01-27T11:03:23Z,,GPS,36.057066,-79.080076,Hillsborough,,,NC,1990 NC 86 S,27278,US,"['CHADEMO', 'J1772COMBO']",4.0,,,Electrify America,https://www.electrifyamerica.com/,,,,"{'station': ['179'], 'posts': ['100510-01', '100510-02', '100510-03', '100510-04']}",
public,7am-10pm daily; for customer use only,,,2019-07-09,,ELEC,Public,124563,2019-06-01,P,E,Publix #1473,828-274-6287,2020-01-23T19:35:39Z,GROCERY,GPS,35.50344,-82.52405,Asheville,Right side of building in parking lot,,NC,1830 Hendersonville Rd,28803,US,['J1772'],,,2.0,Non-Networked,,,Free,,,
public,24 hours daily,,,2020-01-27,,ELEC,Public,125139,,,E,"Walmart 2134 - Charlotte, NC",833-632-2778,2020-01-27T11:03:23Z,,GPS,35.295553,-80.756552,Charlotte,,,NC,7735 North Tryon Street,28262,US,"['CHADEMO', 'J1772COMBO']",10.0,,,Electrify America,https://www.electrifyamerica.com/,,,,"{'station': ['252'], 'posts': ['100258-01', '100258-02', '100258-03', '100258-04', '100258-05', '100258-06', '100258-07', '100258-08', '100258-09', '100258-10']}",
